Date,發行量加權股價報酬指數
1993/8/10,"5,668.81"
1993/8/11,"5,644.54"
1993/8/12,"5,648.25"
1993/8/13,"5,671.35"
1993/8/16,"5,631.73"
1993/8/17,"5,623.75"
1993/8/18,"5,713.90"
1993/8/19,"5,898.75"
1993/8/20,"5,920.15"
1993/8/23,"5,962.91"
1993/8/26,"6,128.36"
1993/8/27,"6,111.83"
1993/8/30,"6,104.11"
1993/8/31,"6,079.49"
1993/9/1,"6,177.14"
1993/9/2,"6,172.19"
1993/9/3,"6,075.48"
1993/9/6,"6,091.14"
1993/9/7,"6,165.96"
1993/9/8,"6,165.11"
1993/9/9,"6,162.97"
1993/9/10,"6,166.41"
1993/9/13,"6,253.00"
1993/9/14,"6,244.74"
1993/9/15,"6,193.54"
1993/9/16,"6,214.71"
1993/9/17,"6,138.08"
1993/9/20,"6,186.86"
1993/9/21,"6,276.24"
1993/9/22,"6,298.32"
1993/9/23,"6,263.58"
1993/9/24,"6,216.06"
1993/9/27,"6,170.71"
1993/9/29,"6,129.25"
1993/9/30,"6,167.30"
1993/10/1,"6,272.47"
1993/10/4,"6,412.42"
1993/10/5,"6,415.65"
1993/10/6,"6,394.27"
1993/10/7,"6,438.99"
1993/10/8,"6,438.10"
1993/10/11,"6,424.51"
1993/10/12,"6,308.75"
1993/10/13,"6,291.36"
1993/10/14,"6,152.17"
1993/10/15,"6,141.36"
1993/10/18,"6,089.97"
1993/10/19,"6,127.61"
1993/10/20,"6,107.09"
1993/10/21,"6,116.68"
1993/10/22,"6,092.86"
1993/10/26,"5,974.92"
1993/10/27,"5,962.35"
1993/10/28,"6,009.40"
1993/10/29,"6,020.34"
1993/11/1,"5,967.84"
1993/11/2,"6,076.98"
1993/11/3,"6,185.91"
1993/11/4,"6,183.67"
1993/11/5,"6,258.13"
1993/11/8,"6,264.72"
1993/11/9,"6,272.89"
1993/11/10,"6,276.36"
1993/11/11,"6,198.31"
1993/11/12,"6,243.31"
1993/11/15,"6,232.26"
1993/11/16,"6,236.64"
1993/11/17,"6,360.97"
1993/11/18,"6,382.93"
1993/11/19,"6,358.72"
1993/11/22,"6,160.22"
1993/11/23,"6,173.60"
1993/11/24,"6,237.13"
1993/11/25,"6,177.97"
1993/11/26,"6,097.16"
1993/11/29,"6,104.13"
1993/11/30,"6,166.92"
1993/12/1,"6,118.23"
1993/12/2,"6,191.38"
1993/12/3,"6,218.10"
1993/12/6,"6,245.43"
1993/12/7,"6,251.87"
1993/12/8,"6,217.30"
1993/12/9,"6,239.94"
1993/12/10,"6,237.47"
1993/12/13,"6,202.92"
1993/12/14,"6,235.38"
1993/12/15,"6,333.44"
1993/12/16,"6,351.00"
1993/12/17,"6,340.54"
1993/12/20,"6,315.87"
1993/12/21,"6,317.89"
1993/12/22,"6,332.32"
1993/12/23,"6,328.94"
1993/12/24,"6,351.89"
1993/12/27,"6,316.56"
1993/12/28,"6,331.99"
1993/12/29,"6,424.77"
1993/12/30,"6,437.82"
1993/12/31,"6,478.80"
1994/1/3,"6,482.42"
1994/1/4,"6,395.19"
1994/1/5,"6,319.12"
1994/1/6,"6,312.52"
1994/1/7,"6,263.85"
1994/1/10,"6,271.09"
1994/1/11,"6,305.71"
1994/1/12,"6,203.80"
1994/1/13,"6,177.27"
1994/1/14,"6,214.81"
1994/1/17,"6,273.64"
1994/1/18,"6,261.30"
1994/1/19,"6,220.97"
1994/1/20,"6,213.31"
1994/1/21,"6,171.96"
1994/1/24,"6,090.25"
1994/1/25,"6,102.14"
1994/1/26,"6,157.67"
1994/1/27,"6,165.47"
1994/1/28,"6,204.69"
1994/1/31,"6,325.31"
1994/2/1,"6,311.91"
1994/2/2,"6,351.11"
1994/2/3,"6,367.90"
1994/2/14,"6,450.00"
1994/2/15,"6,460.54"
1994/2/16,"6,482.81"
1994/2/17,"6,407.67"
1994/2/18,"6,453.34"
1994/2/21,"6,482.19"
1994/2/22,"6,444.61"
1994/2/23,"6,459.75"
1994/2/24,"6,466.95"
1994/2/25,"6,550.84"
1994/3/1,"6,605.56"
1994/3/2,"6,569.22"
1994/3/3,"6,545.08"
1994/3/4,"6,535.84"
1994/3/7,"6,564.23"
1994/3/8,"6,514.44"
1994/3/9,"6,556.59"
1994/3/10,"6,534.69"
1994/3/11,"6,547.04"
1994/3/14,"6,495.62"
1994/3/15,"6,398.51"
1994/3/16,"6,407.88"
1994/3/17,"6,365.78"
1994/3/18,"6,377.90"
1994/3/21,"6,393.74"
1994/3/22,"6,351.35"
1994/3/23,"6,352.09"
1994/3/24,"6,332.57"
1994/3/25,"6,401.07"
1994/3/28,"6,382.95"
1994/3/29,"6,290.62"
1994/3/30,"6,287.18"
1994/3/31,"6,337.73"
1994/4/1,"6,361.87"
1994/4/4,"6,352.55"
1994/4/6,"6,345.76"
1994/4/7,"6,301.72"
1994/4/8,"6,356.92"
1994/4/11,"6,309.80"
1994/4/12,"6,325.07"
1994/4/13,"6,329.50"
1994/4/14,"6,306.91"
1994/4/15,"6,213.72"
1994/4/18,"6,030.95"
1994/4/19,"6,065.96"
1994/4/20,"6,007.57"
1994/4/21,"6,038.15"
1994/4/22,"6,064.64"
1994/4/25,"6,076.48"
1994/4/26,"6,126.02"
1994/4/27,"6,097.54"
1994/4/28,"6,165.29"
1994/4/29,"6,139.75"
1994/5/3,"6,139.92"
1994/5/4,"6,124.57"
1994/5/5,"6,255.23"
1994/5/6,"6,297.93"
1994/5/9,"6,296.76"
1994/5/10,"6,278.76"
1994/5/11,"6,244.29"
1994/5/12,"6,262.73"
1994/5/13,"6,312.20"
1994/5/16,"6,253.52"
1994/5/17,"6,219.90"
1994/5/18,"6,216.54"
1994/5/19,"6,301.76"
1994/5/20,"6,284.85"
1994/5/23,"6,211.84"
1994/5/24,"6,236.90"
1994/5/25,"6,215.18"
1994/5/26,"6,268.91"
1994/5/27,"6,323.92"
1994/5/30,"6,342.89"
1994/5/31,"6,345.05"
1994/6/1,"6,302.88"
1994/6/2,"6,376.76"
1994/6/3,"6,449.09"
1994/6/6,"6,480.36"
1994/6/7,"6,447.19"
1994/6/8,"6,506.18"
1994/6/9,"6,489.56"
1994/6/10,"6,538.60"
1994/6/13,"6,601.03"
1994/6/14,"6,574.74"
1994/6/15,"6,623.87"
1994/6/16,"6,656.84"
1994/6/17,"6,669.00"
1994/6/20,"6,672.68"
1994/6/21,"6,653.15"
1994/6/22,"6,747.98"
1994/6/23,"6,767.18"
1994/6/24,"6,732.27"
1994/6/27,"6,692.49"
1994/6/28,"6,707.68"
1994/6/29,"6,617.40"
1994/6/30,"6,630.72"
1994/7/1,"6,663.24"
1994/7/4,"6,662.99"
1994/7/5,"6,632.64"
1994/7/6,"6,634.97"
1994/7/7,"6,628.57"
1994/7/8,"6,617.65"
1994/7/11,"6,723.77"
1994/7/12,"6,789.57"
1994/7/13,"6,821.60"
1994/7/14,"6,880.15"
1994/7/15,"6,872.33"
1994/7/19,"6,895.75"
1994/7/20,"6,905.16"
1994/7/21,"6,885.72"
1994/7/22,"6,874.13"
1994/7/25,"6,917.34"
1994/7/26,"6,878.01"
1994/7/27,"6,838.38"
1994/7/28,"6,897.52"
1994/7/29,"6,830.34"
1994/8/1,"6,826.38"
1994/8/2,"6,868.94"
1994/8/3,"6,995.11"
1994/8/4,"6,992.07"
1994/8/8,"6,923.03"
1994/8/9,"6,927.89"
1994/8/10,"6,910.08"
1994/8/11,"6,928.63"
1994/8/12,"6,928.18"
1994/8/15,"6,813.51"
1994/8/16,"6,812.83"
1994/8/17,"6,814.63"
1994/8/18,"6,779.83"
1994/8/19,"6,729.65"
1994/8/22,"6,781.88"
1994/8/23,"6,770.29"
1994/8/24,"6,697.38"
1994/8/25,"6,685.44"
1994/8/26,"6,714.87"
1994/8/29,"6,620.31"
1994/8/30,"6,602.38"
1994/8/31,"6,605.52"
1994/9/2,"6,700.70"
1994/9/5,"6,681.91"
1994/9/6,"6,727.25"
1994/9/7,"6,728.76"
1994/9/8,"6,738.51"
1994/9/9,"6,704.74"
1994/9/12,"6,755.21"
1994/9/13,"6,759.74"
1994/9/14,"6,737.64"
1994/9/15,"6,665.23"
